ID,Reference,figure number,Ichnogenus,Period,Epoch,Group,SizeBin,CS,FL-CM
xing 2011 1,"Xing et al., 2011",Fig. 9.G,NA,Cretaceous,"Cretaceous, Early",Theropoda,The1,17.13,12.9
xing 2011 2,"Xing et al., 2011",Fig 10C,NA,Cretaceous,"Cretaceous, Early",Theropoda,The1,25.64,19.16
xing 2011 3,"Xing et al., 2011",Fig 10D,NA,Cretaceous,"Cretaceous, Early",Theropoda,The1,19.18,14.46
xing 2011 4,"Xing et al., 2011",Fig 9E,Kayentapus,Cretaceous,"Cretaceous, Early",Theropoda,The1,20.58,12.64
xing 2011 5,"Xing et al., 2011",Fig 9F,Asianopodus,Cretaceous,"Cretaceous, Early",Theropoda,The2,41.05,28.13
xing 2013 1,"Xing et al., 2013b","Fig. 4, V1394-1",Chongqingpus,Jurassic,"Jurassic, Late",Theropoda,The2,38.63,25.98
xing 2013 2,"Xing et al., 2013b",Fig. 6. C,Chongqingpus,Jurassic,"Jurassic, Late",Theropoda,The2,37.63,26.82
xing 2013 3,"Xing et al., 2013b",Fig. 8 JJ4,NA,Jurassic,"Jurassic, Late",Theropoda,The2,36.2,24.62
xing 2013b 1,"Xing et al., 2013a",Fig. 4. B,Pengxianpus,Triassic,"Triassic, Late",Theropoda,The3,51.04,30.48
xing 2013c 1,"Xing et al., 2014c",Fig. 4b,NA,NA,NA,Theropoda,The1,24.82,16.35
xing 2013c 2,"Xing et al., 2014c",Fig. 7d,NA,NA,NA,Ornithischia,Orn1,21.91,12.28
xing 2014 1,"Xing et al., 2014i",Fig. 4B,Eubrontes,Jurassic,"Jurassic, Early",Theropoda,The3,59.18,39.3
xing 2014b 1,"Xing et al., 2014g",Fig. 6. A,Caririchnium,Cretaceous,"Cretaceous, Early",Ornithischia,Orn2,48.65,29.44
xing 2014b 2,"Xing et al., 2014g",Fig. 6 C lower track,Caririchnium,Cretaceous,"Cretaceous, Early",Ornithischia,Orn2,43.52,26.31
